white, blue, heat, EM, IR
13.5, 12.1, 280.55, 9279, 6116
13.5, 12.1, 279.41, 9279, 6080
13.5, 12.1, 278.68, 9279, 6057
13.5, 12.1, 277.96, 9279, 6035

